Symbol,%Change,Volume,Impl Vol,IV_Percentile,Last,Bid,Ask
TSM,0.91%,"7,108,021",28.68%,0,116.4,116.44,116.7
MVIS,5.41%,"3,483,713",126.73%,0,14.41,14.3,14.35
KODK,5.90%,"1,924,070",93.69%,0.67,7.54,7.4,7.54
MU,1.09%,"14,855,755",33.65%,2.31,75.39,75.5,75.54
CDR,3.10%,"61,872",56.16%,2.53,16.3,15,23.85
ADBE,1.11%,"1,675,926",25.28%,3.28,608.72,609.01,612
TSLA,2.21%,"15,487,127",59.36%,3.85,660.5,661.95,662
IRDM,9.03%,"1,306,407",38.49%,4.38,40.95,40.5,41
DAL,5.45%,"17,690,648",38.71%,6.1,40.66,40.75,40.85
WFC,4.16%,"34,556,156",32.84%,6.3,44.84,45.04,45.1
LAC,5.18%,"2,030,337",75.93%,6.32,13.41,13.31,13.4
OKTA,2.07%,"1,471,874",37.52%,6.37,246.34,246.36,249.48
PLAY,5.30%,"1,213,820",60.05%,6.61,34.6,34.61,35.6
PTON,6.69%,"11,892,924",57.01%,7.05,126.35,125.85,126
TLRY,4.12%,"17,667,378",95.82%,7.2,14.16,14.25,14.26
FAST,1.21%,"3,204,181",21.94%,7.2,54.15,53.5,54.8
NKLA,2.81%,"6,589,664",110.25%,7.23,14.29,14.29,14.49
SLV,-0.64%,"25,553,457",29.91%,7.36,23.14,23.02,23.12
NOK,3.75%,"33,724,260",53.67%,7.57,5.81,5.79,5.82
FDX,1.09%,"1,656,447",28.19%,7.73,298.02,298.11,298.43
CPE,3.81%,"1,810,594",87.98%,7.95,40.29,39.5,40
BILI,3.17%,"1,862,942",53.17%,8.15,111.92,111.5,111.91
CRWD,0.73%,"2,417,450",42.96%,8.43,252.24,252.51,253.98
CRON,2.37%,"1,035,601",62.83%,8.68,7.33,7.33,7.37
VXRT,1.53%,"12,006,584",114.95%,8.93,7.96,7.83,7.91
PAAS,0.27%,"1,855,571",46.35%,9.02,26.26,25.92,26.49
NIO,1.89%,"37,932,291",71.06%,9.48,44.17,43.96,44.03
O,2.26%,"3,794,490",18.82%,9.53,70.25,70.18,71
RH,1.21%,"330,141",38.68%,9.93,659.78,659,675
PLUG,3.31%,"15,859,566",80.95%,10.11,26.86,26.86,26.95
SWN,3.05%,"11,681,033",66.70%,10.14,4.73,4.75,4.8
GME,10.20%,"3,101,090",127.04%,10.14,191.18,190.1,191
RAD,6.31%,"3,523,995",64.21%,10.34,15.5,15.31,15.51
UNH,0.96%,"3,186,929",21.76%,10.44,412.97,413.5,414.29
SPWR,3.43%,"2,376,925",80.71%,10.54,24.14,24.15,24.2
BB,7.49%,"11,079,654",84.85%,10.67,10.62,10.57,10.68
BLNK,3.38%,"1,535,012",83.80%,10.69,32.12,31.26,32.3
EVFM,4.70%,"3,548,624",107.63%,10.73,0.9173,0.93,0.94
AG,0.40%,"4,021,262",64.98%,11.18,12.53,12.5,12.58
MDT,2.25%,"5,137,412",21.71%,11.19,125.51,125.6,126.88
FEYE,2.70%,"2,284,221",46.84%,11.62,20.52,20.52,20.84
DBX,2.31%,"5,728,172",44.10%,11.67,30.5,30.5,30.7
BA,4.91%,"17,027,300",38.88%,11.82,217.15,217.8,217.88
